epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3199,1.3787,2.96048,1.21484,0.37131,0.28749,0.23517,0.13934,1.28279,2.16187,1.08798,0.000329966,0.000329966,0.000329966
2,25.3224,1.26666,1.77887,1.11697,0.59253,0.48064,0.47524,0.30518,1.05399,1.39885,1.02242,0.000650166,0.000650166,0.000650166
3,38.3135,1.18374,1.49269,1.09626,0.6787,0.59966,0.59061,0.38962,1.0223,1.29884,1.01369,0.000957166,0.000957166,0.000957166
4,49.9536,1.14851,1.37506,1.07668,0.49739,0.56433,0.56498,0.36979,1.06776,1.25089,1.01209,0.0009406,0.0009406,0.0009406
5,61.2479,1.13768,1.28726,1.07524,0.61044,0.64781,0.67755,0.46593,0.95988,1.03558,0.97645,0.0009208,0.0009208,0.0009208
6,73.006,1.08822,1.21633,1.04456,0.6186,0.64249,0.69167,0.48976,0.95474,1.02782,0.97116,0.000901,0.000901,0.000901
7,85.1426,1.04891,1.1507,1.04574,0.64418,0.69229,0.70665,0.50705,0.90688,0.98153,0.9607,0.0008812,0.0008812,0.0008812
8,96.9162,1.03446,1.08215,1.02061,0.68631,0.71226,0.75516,0.55008,0.88718,0.90993,0.95089,0.0008614,0.0008614,0.0008614
9,108.955,1.01582,1.03982,1.01733,0.6473,0.79562,0.78393,0.56917,0.8882,0.92655,0.94758,0.0008416,0.0008416,0.0008416
10,120.525,0.99823,1.01627,1.01824,0.73098,0.74453,0.78933,0.5722,0.89589,0.85221,0.95683,0.0008218,0.0008218,0.0008218
11,132.362,0.9995,1.00947,1.0119,0.75579,0.77734,0.81762,0.59879,0.88619,0.8341,0.94316,0.000802,0.000802,0.000802
12,144.541,1.00985,0.96839,1.01144,0.71486,0.80028,0.83327,0.60292,0.85397,0.85208,0.93817,0.0007822,0.0007822,0.0007822
13,156.948,0.95525,0.9238,1.00322,0.78322,0.74181,0.81671,0.59794,0.86934,0.79942,0.94167,0.0007624,0.0007624,0.0007624
14,169.304,0.98269,0.92122,0.99938,0.79545,0.77231,0.85814,0.62848,0.89159,0.77603,0.94546,0.0007426,0.0007426,0.0007426
15,182.6,0.94969,0.89878,1.00072,0.74905,0.7721,0.84015,0.61506,0.85665,0.81684,0.94038,0.0007228,0.0007228,0.0007228
16,194.562,0.94949,0.88782,0.98715,0.82916,0.787,0.87943,0.65548,0.83122,0.7622,0.93069,0.000703,0.000703,0.000703
17,206.351,0.94707,0.87015,0.98636,0.83187,0.7718,0.88161,0.65973,0.81184,0.75725,0.92416,0.0006832,0.0006832,0.0006832
18,218.22,0.94972,0.86718,0.99361,0.8203,0.77918,0.87217,0.65391,0.83024,0.79986,0.92777,0.0006634,0.0006634,0.0006634
19,230.072,0.93538,0.83755,0.98432,0.80394,0.79856,0.8671,0.65526,0.82019,0.74625,0.91944,0.0006436,0.0006436,0.0006436
20,241.713,0.89334,0.81111,0.97915,0.79542,0.81741,0.88319,0.66765,0.81716,0.72778,0.92548,0.0006238,0.0006238,0.0006238
21,253.323,0.91392,0.82205,0.97686,0.7858,0.78128,0.85462,0.63907,0.82253,0.74882,0.92012,0.000604,0.000604,0.000604
22,265.412,0.90365,0.79471,0.96624,0.83969,0.76831,0.87659,0.65875,0.8075,0.7208,0.91635,0.0005842,0.0005842,0.0005842
23,277.391,0.89214,0.76428,0.95841,0.83919,0.77123,0.87939,0.66528,0.80045,0.72261,0.91682,0.0005644,0.0005644,0.0005644
24,289.479,0.89001,0.7918,0.96421,0.80698,0.83233,0.88753,0.68215,0.78263,0.71736,0.91101,0.0005446,0.0005446,0.0005446
25,301.029,0.89122,0.76686,0.9651,0.83967,0.76262,0.8737,0.65975,0.80883,0.69813,0.9174,0.0005248,0.0005248,0.0005248
26,312.907,0.88484,0.77255,0.96471,0.81852,0.81631,0.88393,0.67943,0.79559,0.68553,0.9162,0.000505,0.000505,0.000505
27,325.035,0.879,0.74613,0.95611,0.83634,0.82044,0.89993,0.69748,0.78469,0.66935,0.90759,0.0004852,0.0004852,0.0004852
28,336.993,0.87101,0.74601,0.96439,0.80764,0.82983,0.88959,0.68611,0.79759,0.67777,0.91508,0.0004654,0.0004654,0.0004654
